City,County,Population 
Norco,Riverside,"26,761"
Paradise,Butte,"26,682"
Twentynine Palms,San Bernardino,"26,542"
Lafayette,Contra Costa,"26,440"
Brawley,Imperial,"26,390"
Lemoore,Kings,"26,355"
Soledad,Monterey,"26,273"
Galt,Sacramento,"26,172"
South Pasadena,Los Angeles,"25,888"
Reedley,Fresno,"25,620"
Hercules,Contra Costa,"25,545"
El Cerrito,Contra Costa,"25,515"
Sanger,Fresno,"25,161"
Selma,Fresno,"24,782"
Riverbank,Stanislaus,"24,740"
San Fernando,Los Angeles,"24,714"
Coronado,San Diego,"24,417"
Seal Beach,Orange,"24,326"
Calabasas,Los Angeles,"24,202"
Loma Linda,San Bernardino,"24,196"
Cudahy,Los Angeles,"24,076"
Dinuba,Tulare,"24,034"
Barstow,San Bernardino,"23,916"
Oakdale,Stanislaus,"23,150"
Laguna Beach,Orange,"23,147"
Lathrop,San Joaquin,"22,781"
Millbrae,San Mateo,"22,718"
Port Hueneme,Ventura,"22,327"
Marina,Monterey,"22,145"
Patterson,Stanislaus,"22,124"
South Lake Tahoe,El Dorado,"21,978"
Corcoran,Kings,"21,835"
Duarte,Los Angeles,"21,757"
Yucca Valley,San Bernardino,"21,748"
Arvin,Kern,"21,270"
South El Monte,Los Angeles,"20,987"
Lomita,Los Angeles,"20,707"
Agoura Hills,Los Angeles,"20,692"
La Ca–ada Flintridge,Los Angeles,"20,413"
American Canyon,Napa,"20,247"
Dixon,Solano,"20,202"
Albany,Alameda,"20,143"
Orinda,Contra Costa,"19,730"
Hermosa Beach,Los Angeles,"19,708"
Blythe,Riverside,"19,630"
Shafter,Kern,"19,608"
Pinole,Contra Costa,"19,364"
Oroville,Butte,"19,121"
Chowchilla,Madera,"18,558"
Rancho Mirage,Riverside,"18,306"
Arroyo Grande,San Luis Obispo,"18,123"
Arcata,Humboldt,"18,000"
Santa Fe Springs,Los Angeles,"17,980"
Moraga,Contra Costa,"17,630"
Imperial,Imperial,"17,550"
Greenfield,Monterey,"17,517"
Artesia,Los Angeles,"16,904"
El Segundo,Los Angeles,"16,853"
Coalinga,Fresno,"16,766"
Truckee,Nevada,"16,553"
Laguna Woods,Orange,"16,200"
Ukiah,Mendocino,"16,036"
Fillmore,Ventura,"15,812"
La Palma,Orange,"15,722"
Pacific Grove,Monterey,"15,698"
Ripon,San Joaquin,"15,677"
Susanville,Lassen,"15,326"
Parlier,Fresno,"15,250"
McFarland,Kern,"15,093"
Clearlake,Lake,"15,066"
Kerman,Fresno,"14,932"
Hawaiian Gardens,Los Angeles,"14,450"
Mill Valley,Marin,"14,355"
Red Bluff,Tehama,"14,287"
